description,category
paid for gift,Shopping
online watch charge,Shopping
recharge hm,Shopping
bill for meesho,Shopping
trip to nike,Shopping
online gift,Shopping
hm charge,Shopping
weekly puma,Shopping
recharge gift purchase,Shopping
store laptop charge,Shopping
ticket for flipkart,Shopping
weekly shoes,Shopping
online myntra payment,Shopping
electronics subscription,Shopping
online accessories,Shopping
electronics payment,Shopping
monthly sunglasses,Shopping
recharge levis bill,Shopping
ordered beauty purchase,Shopping
ordered accessories purchase,Shopping
paid for mobile expense,Shopping
store adidas purchase,Shopping
store myntra,Shopping
trip to sunglasses,Shopping
laptop payment,Shopping
bill for hm subscription,Shopping
recharge clothes charge,Shopping
trip to myntra,Shopping
store zara order,Shopping
paid for watch,Shopping
trip to mobile purchase,Shopping
paid for amazon,Shopping
trip to clothes,Shopping
bill for adidas charge,Shopping
paid for gift order,Shopping
trip to gift subscription,Shopping
trip to shoes subscription,Shopping
monthly puma,Shopping
paid for gift purchase,Shopping
ordered nike,Shopping
accessories expense,Shopping
ticket for adidas charge,Shopping
store meesho,Shopping
trip to puma,Shopping
store gift,Shopping
paid for electronics,Shopping
zara subscription,Shopping
bill for levis,Shopping
recharge levis,Shopping
store mobile,Shopping
paid for laptop,Shopping
store mobile order,Shopping
levis payment,Shopping
myntra purchase,Shopping
recharge amazon,Shopping
bill for puma expense,Shopping
zara charge,Shopping
online amazon expense,Shopping
ticket for nike payment,Shopping
ordered watch order,Shopping
online ajio,Shopping
shoes bill,Shopping
monthly myntra order,Shopping
online mobile subscription,Shopping
ordered watch,Shopping
store ajio,Shopping
bill for myntra,Shopping
ordered puma,Shopping
paid for electronics order,Shopping
recharge puma charge,Shopping
beauty payment,Shopping
electronics purchase,Shopping
ordered ajio subscription,Shopping
paid for flipkart payment,Shopping
myntra charge,Shopping
puma subscription,Shopping
electronics expense,Shopping
accessories order,Shopping
hm purchase,Shopping
gift purchase,Shopping
adidas charge,Shopping
paid for ajio expense,Shopping
bill for shoes payment,Shopping
weekly adidas,Shopping
weekly shoes charge,Shopping
monthly amazon bill,Shopping
ticket for amazon payment,Shopping
ordered accessories payment,Shopping
ticket for insurance payment,Bills
act fibernet bill,Bills
ordered maintenance purchase,Bills
monthly airtel expense,Bills
weekly dth,Bills
gas subscription,Bills
airtel charge,Bills
paid for tata sky charge,Bills
recharge gas,Bills
recharge loan order,Bills
paid for rent subscription,Bills
trip to broadband expense,Bills
internet subscription,Bills
online dth,Bills
trip to amazon prime order,Bills
trip to netflix expense,Bills
trip to dth subscription,Bills
internet expense,Bills
electricity order,Bills
jio,Bills
rent charge,Bills
trip to spotify,Bills
online amazon prime payment,Bills
ordered netflix,Bills
monthly water,Bills
broadband bill,Bills
weekly rent,Bills
weekly wifi,Bills
weekly vi,Bills
weekly internet,Bills
electricity payment,Bills
paid for internet,Bills
ticket for netflix,Bills
jio order,Bills
mobile recharge subscription,Bills
ordered insurance,Bills
jio subscription,Bills
loan subscription,Bills
bill for emi,Bills
ordered water subscription,Bills
bill for wifi bill,Bills
ticket for broadband,Bills
wifi charge,Bills
ordered amazon prime subscription,Bills
loan bill,Bills
weekly electricity payment,Bills
loan charge,Bills
amazon prime bill,Bills
amazon prime subscription,Bills
water expense,Bills
airtel expense,Bills
loan payment,Bills
recharge dth,Bills
gas charge,Bills
electricity expense,Bills
online insurance,Bills
ticket for subscription,Bills
store jio,Bills
internet order,Bills
paid for internet bill,Bills
monthly act fibernet payment,Bills
weekly broadband payment,Bills
ordered jio,Bills
bill for tata sky,Bills
ordered insurance charge,Bills
dth bill,Bills
jio expense,Bills
monthly spotify,Bills
insurance purchase,Bills
bill for emi payment,Bills
maintenance charge,Bills
monthly insurance,Bills
bill for wifi,Bills
weekly electricity charge,Bills
online internet,Bills
online subscription payment,Bills
bill for broadband expense,Bills
trip to mobile recharge order,Bills
water purchase,Bills
recharge subscription purchase,Bills
ordered amazon prime bill,Bills
vi subscription,Bills
store loan,Bills
amazon prime expense,Bills
emi charge,Bills
bill for maintenance,Bills
weekly netflix payment,Bills
paid for internet purchase,Bills
monthly subscription payment,Bills
water bill,Bills
tata sky order,Bills
dth charge,Bills
airtel purchase,Bills
jio payment,Bills
trip to water purchase,Bills
weekly mobile recharge subscription,Bills
ticket for water order,Bills
paid for maintenance,Bills
store insurance bill,Bills
monthly airtel purchase,Bills
ordered vi payment,Bills
recharge subscription expense,Bills
mobile recharge expense,Bills
weekly water expense,Bills
vi charge,Bills
store vi order,Bills
spotify subscription,Bills
loan expense,Bills
ticket for rent charge,Bills
broadband expense,Bills
online water subscription,Bills
ordered wifi subscription,Bills
wifi,Bills
weekly mobile recharge bill,Bills
ordered gas bill,Bills
ticket for gas,Bills
store electricity,Bills
store vi,Bills
online jio payment,Bills
weekly mobile recharge expense,Bills
online wifi,Bills
airtel order,Bills
recharge netflix,Bills
airtel bill,Bills
tata sky payment,Bills
recharge wifi purchase,Bills
recharge act fibernet bill,Bills
broadband payment,Bills
emi bill,Bills
ordered insurance order,Bills
trip to amazon prime,Bills
ordered netflix expense,Bills
act fibernet order,Bills
trip to amazon prime expense,Bills
paid for rent expense,Bills
recharge rent payment,Bills
weekly electricity,Bills
online mobile recharge,Bills
recharge spotify charge,Bills
weekly loan,Bills
bill for emi order,Bills
amazon prime charge,Bills
bill for vi purchase,Bills
recharge water,Bills
weekly subscription,Bills
ordered spotify subscription,Bills
emi order,Bills
ordered netflix payment,Bills
weekly jio,Bills
maintenance purchase,Bills
paid for rent,Bills
paid for wifi,Bills
spotify bill,Bills
recharge dth order,Bills
ordered rent expense,Bills
ticket for maintenance,Bills
monthly jio,Bills
store insurance expense,Bills
maintenance expense,Bills
monthly vi charge,Bills
recharge act fibernet,Bills
paid for netflix purchase,Bills
weekly gas,Bills
store airtel,Bills
monthly broadband charge,Bills
internet charge,Bills
weekly loan bill,Bills
paid for broadband purchase,Bills
store subscription payment,Bills
trip to maintenance subscription,Bills
bill for gas payment,Bills
trip to wifi payment,Bills
recharge tata sky expense,Bills
maintenance order,Bills
ordered internet expense,Bills
trip to vi order,Bills
store mobile recharge,Bills
ticket for netflix order,Bills
store broadband charge,Bills
ticket for dth bill,Bills
